Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Country,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost
ORD-10027,2024-08-12,2024-08-16,CID-1027,Home Office,Canada,Vancouver,Office Supplies,Paper,Copy Paper A4,45,3,0,12.29,17.91
ORD-10027,2024-08-12,2024-08-16,CID-1027,Home Office,Canada,Vancouver,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0,1.5,19.37
ORD-10027,2024-08-12,2024-08-16,CID-1027,Home Office,Canada,Vancouver,Office Supplies,Binders,3-Ring Binder,12,1,0,3.35,6.82
ORD-10028,2023-05-17,2023-05-25,CID-1028,Home Office,Canada,Vancouver,Furniture,Tables,Standing Desk,1200,3,0.2,247.34,13.22
ORD-10029,2023-06-12,2023-06-20,CID-1029,Corporate,United Kingdom,London,Technology,Phones,iPhone 15,3000,3,0.2,496.05,9.12
ORD-10030,2023-03-21,2023-03-26,CID-1030,Consumer,United Kingdom,Manchester,Furniture,Chairs,Gaming Chair,250,1,0,26.95,15.41
ORD-10030,2023-03-21,2023-03-26,CID-1030,Consumer,United Kingdom,Manchester,Technology,Accessories,Mechanical Keyboard,120,1,0.2,14.58,13.14
ORD-10030,2023-03-21,2023-03-26,CID-1030,Consumer,United Kingdom,Manchester,Technology,Accessories,Gaming Headset,90,1,0.2,10.61,16.55
ORD-10031,2024-12-13,2024-12-14,CID-1031,Home Office,United Kingdom,Manchester,Technology,Laptops,Dell XPS 15,3000,2,0.2,442.93,16.02
ORD-10031,2024-12-13,2024-12-14,CID-1031,Home Office,United Kingdom,Manchester,Technology,Accessories,27in 4K Monitor,300,1,0.2,25.17,11.54
ORD-10031,2024-12-13,2024-12-14,CID-1031,Home Office,United Kingdom,Manchester,Technology,Accessories,Wireless Mouse,100,2,0.2,18.48,17.61
ORD-10032,2023-05-11,2023-05-21,CID-1032,Home Office,United States,Los Angeles,Office Supplies,Paper,Copy Paper A4,15,1,0.2,1.01,11.93
ORD-10032,2023-05-11,2023-05-21,CID-1032,Home Office,United States,Los Angeles,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0.1,1.48,9.9
ORD-10032,2023-05-11,2023-05-21,CID-1032,Home Office,United States,Los Angeles,Office Supplies,Binders,3-Ring Binder,24,2,0.1,5.14,17.48
ORD-10033,2023-09-16,2023-09-18,CID-1033,Corporate,United States,New York,Furniture,Tables,Standing Desk,1200,3,0,294.37,14.78
ORD-10034,2023-02-01,2023-02-05,CID-1034,Consumer,United States,New York,Technology,Laptops,Dell XPS 15,1500,1,0,249.39,8.84
ORD-10034,2023-02-01,2023-02-05,CID-1034,Consumer,United States,New York,Technology,Accessories,27in 4K Monitor,900,3,0,220.0,7.46
ORD-10034,2023-02-01,2023-02-05,CID-1034,Consumer,United States,New York,Technology,Accessories,Wireless Mouse,150,3,0,42.33,13.64
ORD-10035,2024-01-20,2024-01-27,CID-1035,Home Office,United States,New York,Office Supplies,Paper,Copy Paper A4,15,1,0,3.36,9.52
ORD-10035,2024-01-20,2024-01-27,CID-1035,Home Office,United States,New York,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0,1.09,11.43
ORD-10035,2024-01-20,2024-01-27,CID-1035,Home Office,United States,New York,Office Supplies,Binders,3-Ring Binder,36,3,0.1,1.72,11.3
ORD-10036,2024-05-16,2024-05-18,CID-1036,Corporate,United Kingdom,Manchester,Technology,Phones,iPhone 15,3000,3,0.1,550.74,18.79
ORD-10037,2024-05-10,2024-05-18,CID-1037,Corporate,Canada,Vancouver,Furniture,Chairs,Gaming Chair,250,1,0.1,60.84,8.66
ORD-10037,2024-05-10,2024-05-18,CID-1037,Corporate,Canada,Vancouver,Technology,Accessories,Mechanical Keyboard,360,3,0.2,38.62,12.41
ORD-10037,2024-05-10,2024-05-18,CID-1037,Corporate,Canada,Vancouver,Technology,Accessories,Gaming Headset,180,2,0,24.97,8.88
ORD-10038,2023-10-14,2023-10-24,CID-1038,Home Office,United Kingdom,London,Office Supplies,Paper,Copy Paper A4,15,1,0.2,2.07,16.37
ORD-10038,2023-10-14,2023-10-24,CID-1038,Home Office,United Kingdom,London,Office Supplies,Art Supplies,Ballpoint Pens,24,3,0.2,3.11,5.26
ORD-10038,2023-10-14,2023-10-24,CID-1038,Home Office,United Kingdom,London,Office Supplies,Binders,3-Ring Binder,24,2,0,3.04,13.72
ORD-10039,2024-04-29,2024-05-08,CID-1039,Home Office,United Kingdom,Manchester,Furniture,Tables,Standing Desk,800,2,0.2,75.35,8.77
ORD-10040,2023-05-04,2023-05-08,CID-1040,Corporate,United States,New York,Technology,Laptops,Dell XPS 15,3000,2,0.1,796.84,17.49
ORD-10040,2023-05-04,2023-05-08,CID-1040,Corporate,United States,New York,Technology,Accessories,27in 4K Monitor,600,2,0,75.34,15.62
ORD-10040,2023-05-04,2023-05-08,CID-1040,Corporate,United States,New York,Technology,Accessories,Wireless Mouse,50,1,0,9.42,15.46
ORD-10041,2023-05-10,2023-05-18,CID-1041,Consumer,United States,Los Angeles,Office Supplies,Paper,Copy Paper A4,15,1,0,1.7,17.93
ORD-10041,2023-05-10,2023-05-18,CID-1041,Consumer,United States,Los Angeles,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0.2,1.11,13.66
ORD-10041,2023-05-10,2023-05-18,CID-1041,Consumer,United States,Los Angeles,Office Supplies,Binders,3-Ring Binder,12,1,0,3.03,19.24
ORD-10042,2023-03-29,2023-04-02,CID-1042,Consumer,Canada,Vancouver,Office Supplies,Paper,Copy Paper A4,15,1,0.2,1.95,11.64
ORD-10042,2023-03-29,2023-04-02,CID-1042,Consumer,Canada,Vancouver,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0.1,2.77,5.9
ORD-10043,2023-04-12,2023-04-16,CID-1043,Home Office,United States,Los Angeles,Office Supplies,Paper,Copy Paper A4,15,1,0,1.34,11.13
ORD-10043,2023-04-12,2023-04-16,CID-1043,Home Office,United States,Los Angeles,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0.1,0.84,9.32
ORD-10043,2023-04-12,2023-04-16,CID-1043,Home Office,United States,Los Angeles,Office Supplies,Binders,3-Ring Binder,24,2,0,5.32,18.86
ORD-10044,2024-10-02,2024-10-12,CID-1044,Home Office,United States,Los Angeles,Technology,Laptops,Dell XPS 15,1500,1,0.1,346.49,6.07
ORD-10044,2024-10-02,2024-10-12,CID-1044,Home Office,United States,Los Angeles,Technology,Accessories,27in 4K Monitor,600,2,0.1,86.29,12.03
ORD-10044,2024-10-02,2024-10-12,CID-1044,Home Office,United States,Los Angeles,Technology,Accessories,Wireless Mouse,100,2,0.1,15.76,12.41
ORD-10045,2023-03-24,2023-04-03,CID-1045,Consumer,United Kingdom,Manchester,Office Supplies,Paper,Copy Paper A4,15,1,0,4.5,15.08
ORD-10045,2023-03-24,2023-04-03,CID-1045,Consumer,United Kingdom,Manchester,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0,1.34,14.77
ORD-10046,2023-07-05,2023-07-15,CID-1046,Corporate,Canada,Vancouver,Furniture,Tables,Standing Desk,800,2,0.1,93.79,6.57
ORD-10047,2023-06-14,2023-06-20,CID-1047,Corporate,Canada,Vancouver,Technology,Accessories,Mechanical Keyboard,360,3,0,58.93,9.72
ORD-10047,2023-06-14,2023-06-20,CID-1047,Corporate,Canada,Vancouver,Technology,Accessories,Gaming Headset,180,2,0,38.59,13.14
ORD-10048,2024-02-28,2024-02-29,CID-1048,Consumer,Canada,Vancouver,Office Supplies,Paper,Copy Paper A4,30,2,0,3.03,13.24
ORD-10048,2024-02-28,2024-02-29,CID-1048,Consumer,Canada,Vancouver,Office Supplies,Binders,3-Ring Binder,36,3,0.2,2.31,19.6
ORD-10049,2024-09-15,2024-09-19,CID-1049,Home Office,United States,Los Angeles,Office Supplies,Paper,Copy Paper A4,15,1,0,4.47,18.69
ORD-10049,2024-09-15,2024-09-19,CID-1049,Home Office,United States,Los Angeles,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0,1.4,15.75
ORD-10049,2024-09-15,2024-09-19,CID-1049,Home Office,United States,Los Angeles,Office Supplies,Binders,3-Ring Binder,24,2,0.2,4.97,19.7
ORD-10050,2023-09-07,2023-09-15,CID-1050,Home Office,United States,Los Angeles,Technology,Laptops,Dell XPS 15,4500,3,0,1197.03,9.14
ORD-10050,2023-09-07,2023-09-15,CID-1050,Home Office,United States,Los Angeles,Technology,Accessories,27in 4K Monitor,600,2,0.1,153.12,12.62
ORD-10050,2023-09-07,2023-09-15,CID-1050,Home Office,United States,Los Angeles,Technology,Accessories,Wireless Mouse,100,2,0.1,23.34,13.7
ORD-10051,2024-11-06,2024-11-14,CID-1051,Consumer,United Kingdom,Manchester,Furniture,Chairs,Gaming Chair,750,3,0.2,98.3,9.83
ORD-10051,2024-11-06,2024-11-14,CID-1051,Consumer,United Kingdom,Manchester,Technology,Accessories,Mechanical Keyboard,360,3,0,69.46,8.5
ORD-10051,2024-11-06,2024-11-14,CID-1051,Consumer,United Kingdom,Manchester,Technology,Accessories,Gaming Headset,90,1,0.1,19.13,15.58
ORD-10052,2024-01-26,2024-02-02,CID-1052,Home Office,Canada,Toronto,Office Supplies,Paper,Copy Paper A4,45,3,0.1,10.83,18.11
ORD-10052,2024-01-26,2024-02-02,CID-1052,Home Office,Canada,Toronto,Office Supplies,Art Supplies,Ballpoint Pens,24,3,0.2,1.03,7.16
ORD-10052,2024-01-26,2024-02-02,CID-1052,Home Office,Canada,Toronto,Office Supplies,Binders,3-Ring Binder,12,1,0,2.01,19.54
ORD-10053,2023-12-13,2023-12-23,CID-1053,Home Office,United Kingdom,London,Furniture,Tables,Standing Desk,1200,3,0.2,276.99,14.4
ORD-10054,2024-05-14,2024-05-23,CID-1054,Consumer,Canada,Toronto,Technology,Laptops,Dell XPS 15,3000,2,0,710.07,11.51
ORD-10054,2024-05-14,2024-05-23,CID-1054,Consumer,Canada,Toronto,Technology,Accessories,27in 4K Monitor,900,3,0,144.83,15.41
ORD-10055,2023-02-17,2023-02-23,CID-1055,Consumer,United Kingdom,Manchester,Furniture,Chairs,Gaming Chair,750,3,0.2,114.89,16.89
ORD-10055,2023-02-17,2023-02-23,CID-1055,Consumer,United Kingdom,Manchester,Technology,Accessories,Mechanical Keyboard,120,1,0.2,19.67,8.61
ORD-10056,2023-05-27,2023-05-31,CID-1056,Corporate,Canada,Vancouver,Office Supplies,Paper,Copy Paper A4,30,2,0.1,5.92,7.37
ORD-10056,2023-05-27,2023-05-31,CID-1056,Corporate,Canada,Vancouver,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0.1,3.02,11.36
ORD-10056,2023-05-27,2023-05-31,CID-1056,Corporate,Canada,Vancouver,Office Supplies,Binders,3-Ring Binder,24,2,0,7.2,17.8
ORD-10057,2023-04-20,2023-04-24,CID-1057,Corporate,Canada,Vancouver,Office Supplies,Art Supplies,Ballpoint Pens,24,3,0.2,2.28,13.49
ORD-10057,2023-04-20,2023-04-24,CID-1057,Corporate,Canada,Vancouver,Office Supplies,Binders,3-Ring Binder,36,3,0,10.0,16.18
ORD-10058,2023-10-21,2023-10-25,CID-1058,Home Office,United Kingdom,London,Office Supplies,Paper,Copy Paper A4,45,3,0,9.32,18.55
ORD-10058,2023-10-21,2023-10-25,CID-1058,Home Office,United Kingdom,London,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0.2,0.75,10.47
ORD-10058,2023-10-21,2023-10-25,CID-1058,Home Office,United Kingdom,London,Office Supplies,Binders,3-Ring Binder,24,2,0.1,5.12,7.63
ORD-10059,2023-05-16,2023-05-25,CID-1059,Corporate,Canada,Vancouver,Technology,Phones,iPhone 15,2000,2,0.1,425.95,10.08
ORD-10060,2023-04-28,2023-05-06,CID-1060,Consumer,United States,New York,Furniture,Tables,Standing Desk,800,2,0.1,52.25,10.92
ORD-10061,2023-09-28,2023-10-07,CID-1061,Consumer,United Kingdom,Manchester,Office Supplies,Paper,Copy Paper A4,45,3,0.2,9.2,19.1
ORD-10061,2023-09-28,2023-10-07,CID-1061,Consumer,United Kingdom,Manchester,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0.2,0.36,18.26
ORD-10061,2023-09-28,2023-10-07,CID-1061,Consumer,United Kingdom,Manchester,Office Supplies,Binders,3-Ring Binder,36,3,0,7.63,14.53
ORD-10062,2024-04-20,2024-04-25,CID-1062,Home Office,United Kingdom,London,Technology,Accessories,27in 4K Monitor,600,2,0,44.58,18.31
ORD-10062,2024-04-20,2024-04-25,CID-1062,Home Office,United Kingdom,London,Technology,Accessories,Wireless Mouse,100,2,0.1,19.59,16.15
ORD-10063,2024-07-07,2024-07-14,CID-1063,Home Office,Canada,Toronto,Furniture,Tables,Standing Desk,800,2,0.2,182.25,9.2
ORD-10064,2024-12-07,2024-12-13,CID-1064,Consumer,United Kingdom,Manchester,Furniture,Tables,Standing Desk,400,1,0.1,67.0,19.67
ORD-10066,2024-04-10,2024-04-12,CID-1066,Home Office,United States,New York,Technology,Laptops,Dell XPS 15,1500,1,0,100.73,16.48
ORD-10066,2024-04-10,2024-04-12,CID-1066,Home Office,United States,New York,Technology,Accessories,27in 4K Monitor,300,1,0,39.64,7.21
ORD-10067,2023-01-03,2023-01-08,CID-1067,Consumer,United States,Los Angeles,Technology,Phones,iPhone 15,1000,1,0,53.72,16.85
ORD-10068,2023-09-01,2023-09-11,CID-1068,Corporate,United States,New York,Furniture,Chairs,Gaming Chair,500,2,0,118.21,12.14
ORD-10068,2023-09-01,2023-09-11,CID-1068,Corporate,United States,New York,Technology,Accessories,Mechanical Keyboard,360,3,0,58.68,8.32
ORD-10068,2023-09-01,2023-09-11,CID-1068,Corporate,United States,New York,Technology,Accessories,Gaming Headset,270,3,0.1,39.98,19.46
ORD-10069,2023-03-04,2023-03-12,CID-1069,Corporate,United Kingdom,London,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0.1,1.45,5.99
ORD-10069,2023-03-04,2023-03-12,CID-1069,Corporate,United Kingdom,London,Office Supplies,Binders,3-Ring Binder,36,3,0.1,4.71,13.96
ORD-10070,2023-10-29,2023-11-06,CID-1070,Home Office,Canada,Vancouver,Technology,Laptops,Dell XPS 15,4500,3,0,708.83,18.32
ORD-10070,2023-10-29,2023-11-06,CID-1070,Home Office,Canada,Vancouver,Technology,Accessories,27in 4K Monitor,600,2,0.2,73.92,6.43
ORD-10070,2023-10-29,2023-11-06,CID-1070,Home Office,Canada,Vancouver,Technology,Accessories,Wireless Mouse,150,3,0.1,19.38,7.29
ORD-10071,2024-04-30,2024-05-02,CID-1071,Consumer,United States,New York,Furniture,Chairs,Gaming Chair,500,2,0,94.55,13.8
ORD-10071,2024-04-30,2024-05-02,CID-1071,Consumer,United States,New York,Technology,Accessories,Mechanical Keyboard,240,2,0,36.65,18.1
ORD-10072,2024-03-09,2024-03-10,CID-1072,Corporate,Canada,Vancouver,Furniture,Chairs,Gaming Chair,250,1,0,53.55,8.36
ORD-10072,2024-03-09,2024-03-10,CID-1072,Corporate,Canada,Vancouver,Technology,Accessories,Mechanical Keyboard,360,3,0.1,25.51,9.18
ORD-10072,2024-03-09,2024-03-10,CID-1072,Corporate,Canada,Vancouver,Technology,Accessories,Gaming Headset,180,2,0,36.4,14.87
ORD-10073,2024-12-11,2024-12-16,CID-1073,Consumer,United States,Los Angeles,Technology,Phones,iPhone 15,2000,2,0.1,92.75,18.05
ORD-10074,2024-08-02,2024-08-09,CID-1074,Consumer,United States,New York,Technology,Laptops,Dell XPS 15,3000,2,0.2,392.19,7.36
ORD-10074,2024-08-02,2024-08-09,CID-1074,Consumer,United States,New York,Technology,Accessories,27in 4K Monitor,600,2,0,162.5,7.33
ORD-10074,2024-08-02,2024-08-09,CID-1074,Consumer,United States,New York,Technology,Accessories,Wireless Mouse,50,1,0,5.9,14.93
ORD-10075,2024-05-12,2024-05-22,CID-1075,Corporate,United Kingdom,Manchester,Technology,Laptops,Dell XPS 15,3000,2,0.2,186.53,15.17
ORD-10075,2024-05-12,2024-05-22,CID-1075,Corporate,United Kingdom,Manchester,Technology,Accessories,27in 4K Monitor,900,3,0.1,49.7,10.93
ORD-10075,2024-05-12,2024-05-22,CID-1075,Corporate,United Kingdom,Manchester,Technology,Accessories,Wireless Mouse,50,1,0,6.27,8.17
ORD-10076,2023-05-21,2023-05-26,CID-1076,Corporate,United Kingdom,London,Technology,Laptops,Dell XPS 15,1500,1,0,217.58,15.56
ORD-10076,2023-05-21,2023-05-26,CID-1076,Corporate,United Kingdom,London,Technology,Accessories,27in 4K Monitor,900,3,0.1,55.1,17.93
ORD-10076,2023-05-21,2023-05-26,CID-1076,Corporate,United Kingdom,London,Technology,Accessories,Wireless Mouse,50,1,0.2,11.21,17.93
ORD-10077,2024-08-12,2024-08-19,CID-1077,Home Office,United Kingdom,Manchester,Furniture,Chairs,Gaming Chair,500,2,0,125.17,14.27
ORD-10077,2024-08-12,2024-08-19,CID-1077,Home Office,United Kingdom,Manchester,Technology,Accessories,Mechanical Keyboard,240,2,0,38.2,6.59
ORD-10077,2024-08-12,2024-08-19,CID-1077,Home Office,United Kingdom,Manchester,Technology,Accessories,Gaming Headset,180,2,0,26.81,9.65
ORD-10078,2023-12-14,2023-12-18,CID-1078,Corporate,United States,New York,Office Supplies,Paper,Copy Paper A4,45,3,0,12.44,10.24
ORD-10078,2023-12-14,2023-12-18,CID-1078,Corporate,United States,New York,Office Supplies,Art Supplies,Ballpoint Pens,24,3,0,2.62,7.2
ORD-10078,2023-12-14,2023-12-18,CID-1078,Corporate,United States,New York,Office Supplies,Binders,3-Ring Binder,36,3,0,8.64,14.83
ORD-10079,2023-07-01,2023-07-09,CID-1079,Corporate,Canada,Vancouver,Office Supplies,Paper,Copy Paper A4,45,3,0.1,10.78,14.41
ORD-10079,2023-07-01,2023-07-09,CID-1079,Corporate,Canada,Vancouver,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0.2,1.03,9.54
ORD-10079,2023-07-01,2023-07-09,CID-1079,Corporate,Canada,Vancouver,Office Supplies,Binders,3-Ring Binder,12,1,0.1,1.91,9.66
ORD-10080,2024-04-07,2024-04-08,CID-1080,Consumer,United Kingdom,Manchester,Technology,Laptops,Dell XPS 15,1500,1,0.2,198.81,13.31
ORD-10080,2024-04-07,2024-04-08,CID-1080,Consumer,United Kingdom,Manchester,Technology,Accessories,27in 4K Monitor,300,1,0.2,66.54,13.57
